Дата,Товар,Количество,Цена за единицу
2025-04-25,Ложка,17,14.39
2025-12-19,Сумка,28,14.41
2025-10-01,Шорты,9,3.32
2025-12-16,Набор пакетов,12,16.06
2025-08-02,Штаны,25,14.01
2025-06-07,Часы,30,7.92
2025-08-28,Часы,18,2.66
2025-08-31,Часы,20,18.55
2025-08-28,Ручка,9,10.76
2025-02-21,Кепка,32,18.87
2025-03-01,Ложка,19,10.81
2025-09-15,Кепка,16,8.6
2025-05-20,Игрушка,8,6.31
2025-08-15,Книга,1,13.44
2025-12-15,Шорты,21,5.34
2025-06-15,Набор пакетов,2,7.69
2025-09-13,Ложка,12,12.28
2025-10-07,Планшет,25,6.18
2025-06-05,Сумка,33,7.15
2025-07-12,Очки,20,6.36
2025-11-28,Книга,11,5.83
2025-02-07,Футболка,7,12.59
2025-04-14,Набор пакетов,4,17.26
2025-06-24,Футболка,29,7.02
2025-01-20,Телефон,24,2.74
2025-05-17,Телефон,10,1.57
2025-05-16,Свитер,7,3.28
2025-04-19,Ложка,11,6.94
2025-08-11,Шорты,24,12.42
2025-02-03,Игрушка,26,6.31
2025-05-12,Набор пакетов,22,11.21
2025-05-11,Чипсы,10,15.37
2025-03-23,Ноутбук,26,2.62
2025-10-25,Кроссовки,30,8.51
2025-10-02,Чипсы,19,15.38
2025-02-14,Кроссовки,24,2.93
2025-04-01,Штаны,6,5.7
2025-04-26,Очки,14,12.46
2025-08-31,Кепка,13,11.13
2025-12-26,Чипсы,27,12.51
2025-09-19,Игрушка,29,5.46
2025-05-29,Футболка,17,13.16
2025-09-27,Ноутбук,30,17.01
2025-10-03,Футболка,6,10.51
2025-11-16,Шорты,2,9.51
2025-05-11,Кроссовки,25,12.0
2025-06-05,Телефон,14,6.7
2025-09-04,Очки,21,3.38
2025-09-24,Чипсы,5,9.87
2025-11-03,Кепка,27,6.53
2025-06-04,Кроссовки,10,3.31
2025-12-05,Футболка,22,10.77
2025-09-03,Игрушка,33,15.37
2025-03-10,Ручка,27,17.6
2025-12-27,Часы,24,18.2
2025-10-04,Книга,9,14.81
2025-09-27,Ложка,15,6.3
2025-02-23,Штаны,18,5.29
2025-12-05,Планшет,2,17.75
2025-12-29,Кроссовки,24,13.24
2025-06-20,Кроссовки,28,7.69
2025-08-20,Кроссовки,18,18.63
2025-07-20,Чипсы,31,8.53
2025-10-20,Телефон,12,11.26
2025-11-23,Ноутбук,19,1.5
2025-03-31,Свитер,15,3.51
2025-10-23,Игрушка,21,18.27
2025-04-12,Ноутбук,6,9.67
2025-12-02,Телефон,24,9.39
2025-05-20,Футболка,20,18.23
2025-12-11,Кепка,32,3.83
2025-06-24,Игрушка,18,9.32
2025-04-06,Планшет,17,15.93
2025-11-23,Ручка,12,1.71
2025-04-12,Кепка,18,12.81
2025-07-04,Кепка,24,18.91
2025-11-14,Ноутбук,23,12.39
2025-11-27,Набор пакетов,9,15.4
2025-11-04,Телефон,26,10.62
2025-04-01,Игрушка,4,1.8
2025-05-08,Набор пакетов,27,13.06
2025-02-03,Кепка,14,11.25
2025-08-13,Набор пакетов,12,9.04
2025-07-27,Свитер,12,6.67
2025-08-05,Чипсы,6,6.81
2025-03-23,Телефон,17,1.21
2025-02-08,Свитер,12,7.7
2025-03-27,Очки,19,9.57
2025-06-03,Набор пакетов,24,1.65
2025-12-31,Шорты,13,3.59
2025-09-17,Планшет,23,18.89
2025-11-16,Кроссовки,26,5.96
2025-03-09,Очки,27,8.68
2025-04-24,Набор пакетов,12,18.89
2025-01-07,Часы,30,16.17
2025-06-12,Сумка,7,2.19
2025-07-14,Ложка,5,11.45
2025-02-10,Шорты,27,11.61
2025-03-26,Ложка,28,3.05
2025-11-16,Шорты,16,1.04
2025-09-08,Игрушка,27,7.38
2025-09-24,Сумка,1,5.8
2025-08-21,Свитер,27,10.78
2025-12-28,Планшет,4,7.58
2025-07-17,Ложка,26,15.27
2025-04-10,Футболка,6,11.4
2025-11-05,Ложка,11,1.81
2025-08-26,Ноутбук,17,12.43
2025-11-02,Шорты,7,15.55
2025-08-28,Штаны,9,2.95
2025-12-17,Сумка,20,8.29
2025-01-20,Кроссовки,7,4.08
2025-10-09,Кепка,3,10.66
2025-07-04,Ноутбук,19,7.25
2025-05-11,Игрушка,10,13.36
2025-10-12,Часы,13,6.34
2025-12-07,Шорты,31,13.52
2025-10-20,Игрушка,5,12.02
2025-09-13,Свитер,25,14.95
2025-01-07,Ручка,1,16.04
2025-12-31,Набор пакетов,32,12.97
2025-05-29,Телефон,29,14.69
2025-01-19,Игрушка,31,7.2
2025-04-01,Книга,24,14.0
2025-09-03,Чипсы,16,10.88
2025-02-13,Книга,14,3.01
2025-03-16,Футболка,14,3.09
2025-11-10,Часы,5,5.36
2025-11-03,Планшет,11,18.59
2025-08-14,Очки,25,4.52
2025-05-22,Ручка,16,2.89
2025-03-09,Футболка,23,8.06
2025-03-27,Сумка,24,17.91
2025-02-21,Книга,33,1.32
2025-09-19,Штаны,12,9.79
2025-01-21,Книга,9,3.73
2025-02-19,Книга,3,13.13
2025-11-06,Кроссовки,10,12.02
2025-01-15,Футболка,31,17.56
2025-01-20,Кепка,23,9.14
2025-07-30,Часы,1,7.17
2025-03-17,Часы,8,8.6
2025-04-30,Игрушка,15,2.35
2025-12-02,Свитер,26,5.27
2025-12-01,Книга,10,2.05
2025-01-31,Планшет,15,18.03
2025-05-08,Очки,30,18.57
2025-07-20,Книга,18,13.26
2025-08-30,Набор пакетов,4,16.65
2025-01-01,Футболка,23,14.77
2025-01-16,Ложка,26,9.05
2025-08-26,Чипсы,9,6.6
2025-05-23,Очки,5,12.53
2025-01-20,Кроссовки,19,1.94
2025-01-05,Ручка,13,7.3
2025-09-27,Набор пакетов,13,17.41
2025-07-30,Сумка,28,16.09
2025-05-25,Шорты,27,5.66
2025-10-16,Свитер,10,16.55
2025-06-29,Кроссовки,31,14.58
