inventory_id;player_id;item_id;quantity
10001;143;81;1
10002;120;80;3
10003;148;81;10
10004;123;81;9
10005;170;80;8
10006;101;81;1
10007;175;81;3
10008;152;80;7
10009;116;81;6
10010;170;81;7
10011;175;80;10
10012;117;80;4
10013;174;80;1
10014;131;80;10
10015;159;80;8
10016;107;80;10
10017;100;81;7
10018;134;80;2
10019;143;80;1
10020;162;80;9
10021;180;80;9
10022;175;81;10
10023;131;80;5
10024;150;81;7
10025;136;80;9
10026;109;80;6
10027;123;81;10
10028;109;80;5
10029;178;80;5
10030;147;80;6
10031;166;81;3
10032;150;80;5
10033;167;80;2
10034;168;80;1
10035;135;81;3
10036;161;81;2
10037;168;80;7
10038;106;81;6
10039;108;81;7
10040;101;81;3
10041;118;80;10
10042;121;81;6
10043;129;80;5
10044;148;81;1
10045;146;81;5
10046;143;81;8
10047;123;80;1
10048;104;80;9
10049;105;81;6
10050;148;80;3
10051;121;81;4
10052;169;81;5
10053;167;80;8
10054;107;80;2
10055;132;81;5
10056;155;81;8
10057;160;81;2
10058;113;80;4
10059;154;80;8
10060;130;80;5
10061;125;81;8
10062;116;81;6
10063;103;80;7
10064;162;81;10
10065;157;81;6
10066;134;80;9
10067;142;80;8
10068;136;80;6
10069;177;80;1
10070;139;81;5
10071;148;80;6
10072;125;81;2
10073;118;80;9
10074;143;81;10
10075;105;81;6
10076;174;81;5
10077;172;80;9
10078;163;81;1
10079;160;81;7
10080;102;81;8
10081;171;80;2
10082;154;80;5
10083;126;81;8
10084;100;81;9
10085;130;80;3
10086;170;81;1
10087;100;80;1
10088;178;81;2
10089;103;80;7
10090;101;81;2
10091;128;81;5
10092;124;80;4
10093;140;80;1
10094;147;80;4
10095;150;81;5
10096;142;81;9
10097;104;81;10
10098;134;81;10
10099;162;81;6
10100;172;80;5
10101;155;80;7
10102;127;81;9
10103;103;80;4
10104;149;81;6
10105;155;81;8
10106;144;81;2
10107;141;81;5
10108;114;80;4
10109;130;81;7
10110;100;81;4
10111;124;80;2
10112;157;80;10
10113;155;80;7
10114;115;81;10
10115;169;81;9
10116;160;81;5
10117;167;80;5
10118;163;80;7
10119;137;80;2
10120;157;80;2
10121;141;80;3
10122;161;81;7
10123;169;80;2
10124;140;81;5
10125;172;80;2
10126;148;81;1
10127;107;81;5
10128;161;80;1
10129;126;80;3
10130;115;80;6
10131;174;80;8
10132;161;80;3
10133;144;80;1
10134;102;80;1
10135;149;81;10
10136;153;80;9
10137;162;81;8
10138;177;81;1
10139;143;81;7
10140;175;80;7
10141;138;80;2
10142;112;81;10
10143;177;80;2
10144;122;81;10
10145;110;80;9
10146;166;80;3
10147;138;80;9
10148;178;80;7
10149;128;81;7
10150;162;80;8
10151;162;80;9
10152;147;80;5
10153;106;80;9
10154;162;81;8
10155;171;80;3
10156;116;80;9
10157;128;81;10
10158;154;80;7
10159;161;80;5
10160;159;81;6
10161;114;80;5
10162;179;80;5
10163;152;80;5
10164;169;80;10
10165;135;80;2
10166;149;81;9
10167;112;81;3
10168;173;80;9
10169;177;80;6
10170;161;81;1
10171;106;80;1
10172;174;80;8
10173;139;81;9
10174;157;80;6
10175;107;81;4
10176;143;80;7
10177;179;80;8
10178;156;81;6
10179;100;80;2
10180;164;80;3
